19:27:13.074, Connected as master
19:40:27.334, -23 dBm, 27
19:40:27.591, -23 dBm, 26
19:40:28.099, -25 dBm, 28
19:40:28.356, -25 dBm, 29
19:40:28.612, -25 dBm, 26
19:40:28.870, -25 dBm, 27
19:40:29.126, -24 dBm, 28
19:40:29.383, -23 dBm, 29
19:40:30.509, error
19:40:31.633, error
19:40:32.757, error
19:40:33.881, error
19:40:35.005, error
19:40:36.131, error
19:40:37.252, error
19:40:38.377, error
19:40:38.632, -40 dBm, 26
19:40:38.889, -40 dBm, 29
19:40:39.146, -34 dBm, 25
19:40:39.401, -30 dBm, 28
19:40:39.659, -34 dBm, 28
19:40:39.916, -34 dBm, 30
19:40:40.173, -28 dBm, 28
19:40:40.429, -23 dBm, 29
19:40:40.686, -25 dBm, 28
19:40:40.943, -26 dBm, 28
19:40:41.201, -24 dBm, 26
19:40:41.457, -25 dBm, 28
19:40:41.714, -26 dBm, 27
19:40:41.970, -25 dBm, 28
19:40:42.227, -26 dBm, 27
19:40:42.484, -27 dBm, 29
19:40:42.741, -31 dBm, 29
19:40:42.998, -30 dBm, 26
19:40:43.255, -29 dBm, 27
19:40:43.511, -34 dBm, 29
19:40:43.768, -31 dBm, 27
19:40:44.276, -45 dBm, 28
19:40:44.534, -30 dBm, 27
19:40:44.790, -45 dBm, 27
19:40:45.047, -36 dBm, 27
19:40:45.303, -37 dBm, 28
19:40:45.560, -39 dBm, 30
19:40:45.817, -35 dBm, 28
19:40:46.074, -37 dBm, 28
19:40:46.331, -29 dBm, 28
19:40:46.589, -26 dBm, 28
19:40:46.844, -26 dBm, 28
19:40:47.101, -27 dBm, 28
19:40:47.357, -27 dBm, 28
19:40:47.615, -28 dBm, 27
19:40:47.872, -26 dBm, 26
19:40:48.127, -28 dBm, 29
19:40:48.385, -27 dBm, 29
19:40:48.641, -28 dBm, 30
19:40:48.898, -27 dBm, 28
19:40:49.156, -28 dBm, 27
19:40:49.413, -29 dBm, 28
19:40:49.669, -29 dBm, 27
19:40:49.926, -30 dBm, 28
19:40:50.184, -31 dBm, 27
19:40:50.692, -33 dBm, 29
19:40:50.948, -34 dBm, 28
19:40:51.207, -30 dBm, 27
19:40:51.461, -28 dBm, 29
19:40:51.718, -26 dBm, 27
19:40:51.976, -29 dBm, 29
19:40:52.232, -30 dBm, 28
19:40:52.490, -27 dBm, 27
19:40:52.747, -28 dBm, 29
19:40:53.002, -31 dBm, 27
19:40:53.260, -37 dBm, 27
19:40:53.516, -52 dBm, 29
19:40:53.773, -40 dBm, 29
19:40:54.031, -37 dBm, 26
19:40:54.287, -39 dBm, 28
19:40:54.544, -33 dBm, 30
19:40:54.800, -29 dBm, 27
19:40:55.057, -34 dBm, 27
19:40:55.313, -28 dBm, 28
19:40:55.572, -26 dBm, 28
19:40:55.828, -30 dBm, 27
19:40:56.335, -27 dBm, 28
19:40:56.593, -27 dBm, 29
19:40:56.849, -30 dBm, 28
19:40:57.106, -30 dBm, 28
19:40:57.362, -30 dBm, 26
19:40:57.621, -37 dBm, 28
19:40:57.876, -39 dBm, 28
19:40:58.133, -34 dBm, 28
19:40:58.390, -34 dBm, 26
19:40:58.648, -33 dBm, 29
19:40:58.904, -27 dBm, 27
19:40:59.161, -27 dBm, 28
19:40:59.417, -28 dBm, 30
19:40:59.674, -28 dBm, 27
19:40:59.931, -30 dBm, 28
19:41:00.188, -26 dBm, 29
19:41:00.445, -23 dBm, 29
19:41:01.822, error
19:41:02.077, -28 dBm, 27
19:41:02.332, -30 dBm, 27
19:41:02.842, -39 dBm, 28
19:41:03.098, -36 dBm, 26
19:41:03.356, -29 dBm, 26
19:41:03.612, -40 dBm, 29
19:41:03.868, -34 dBm, 28
19:41:04.126, -28 dBm, 29
19:41:04.382, -27 dBm, 28
19:41:04.640, -27 dBm, 29
19:41:04.896, -25 dBm, 26
19:41:05.152, -25 dBm, 26
19:41:05.410, -23 dBm, 28
19:41:05.667, -23 dBm, 30
19:41:05.923, -23 dBm, 29
19:41:06.180, -23 dBm, 28
19:41:06.437, -23 dBm, 27
19:41:06.695, -24 dBm, 28
19:41:06.950, -23 dBm, 25
19:41:07.207, -23 dBm, 28
19:41:07.464, -24 dBm, 28
19:41:07.721, -23 dBm, 29
19:41:08.228, -23 dBm, 29
19:41:08.486, -23 dBm, 29
19:41:08.742, -24 dBm, 27
19:41:08.999, -24 dBm, 25
19:41:09.256, -24 dBm, 28
19:41:09.513, -23 dBm, 26
19:41:09.771, -25 dBm, 28
19:41:10.028, -25 dBm, 25
19:41:10.284, -27 dBm, 29
19:41:10.540, -34 dBm, 29
19:41:10.797, -27 dBm, 28
19:41:11.054, -41 dBm, 27
19:41:11.312, -37 dBm, 28
19:41:11.568, -40 dBm, 28
19:41:11.824, -40 dBm, 30
19:41:12.081, -43 dBm, 29
19:41:12.338, -47 dBm, 28
19:41:12.596, -46 dBm, 29
19:41:12.852, -49 dBm, 26
19:41:13.109, -56 dBm, 25
19:41:13.365, -45 dBm, 27
19:41:13.623, -40 dBm, 26
19:41:13.878, -39 dBm, 29
19:41:14.136, -39 dBm, 29
19:41:14.393, -39 dBm, 26
19:41:14.651, -41 dBm, 27
19:41:14.906, -43 dBm, 28
19:41:15.163, -43 dBm, 27
19:41:15.420, -43 dBm, 27
19:41:15.677, -42 dBm, 27
19:41:15.933, -40 dBm, 27
19:41:16.190, -39 dBm, 26
19:41:16.448, -42 dBm, 28
19:41:16.705, -40 dBm, 25
19:41:16.962, -42 dBm, 28
19:41:17.218, -42 dBm, 28
19:41:17.475, -47 dBm, 25
19:41:17.731, -69 dBm, 22
19:41:17.989, -57 dBm, 25
19:41:18.245, -47 dBm, 25
19:41:18.501, -46 dBm, 26
19:41:18.759, -48 dBm, 25
19:41:19.016, -47 dBm, 27
19:41:19.272, -48 dBm, 27
19:41:19.530, -47 dBm, 27
19:41:19.787, -46 dBm, 28
19:41:20.043, -46 dBm, 28
19:41:20.300, -46 dBm, 27
19:41:20.556, -47 dBm, 26
19:41:20.813, -47 dBm, 25
19:41:21.070, -47 dBm, 27
19:41:21.327, -47 dBm, 27
19:41:21.584, -47 dBm, 27
19:41:21.841, -47 dBm, 26
19:41:22.097, -47 dBm, 28
19:41:22.354, -47 dBm, 26
19:41:22.611, -47 dBm, 26
19:41:22.868, -46 dBm, 28
19:41:23.125, -46 dBm, 28
19:41:23.383, -49 dBm, 26
19:41:23.639, -54 dBm, 24
19:41:23.896, -53 dBm, 26
19:41:24.151, -50 dBm, 28
19:41:24.410, -52 dBm, 27
19:41:24.667, -49 dBm, 27
19:41:24.922, -52 dBm, 29
19:41:25.180, -51 dBm, 28
19:41:25.437, -45 dBm, 27
19:41:25.693, -52 dBm, 28
19:41:25.950, -52 dBm, 28
19:41:26.206, -44 dBm, 27
19:41:26.464, -42 dBm, 28
19:41:26.722, -46 dBm, 29
19:41:26.978, -60 dBm, 25
19:41:27.234, -59 dBm, 24
19:41:27.491, -60 dBm, 24
19:41:27.748, -56 dBm, 23
19:41:28.006, -52 dBm, 29
19:41:28.262, -52 dBm, 28
19:41:28.518, -51 dBm, 28
19:41:28.774, -52 dBm, 27
19:41:29.031, -52 dBm, 25
19:41:29.290, -52 dBm, 28
19:41:29.546, -51 dBm, 28
19:41:29.803, -51 dBm, 28
19:41:30.059, -51 dBm, 29
19:41:30.317, -52 dBm, 25
19:41:30.573, -53 dBm, 23
19:41:30.830, -61 dBm, 22
19:41:31.086, -53 dBm, 27
19:41:31.345, -46 dBm, 28
19:41:31.601, -43 dBm, 28
19:41:31.857, -46 dBm, 26
19:41:32.114, -52 dBm, 28
19:41:32.371, -48 dBm, 27
19:41:32.628, -60 dBm, 27
19:41:32.885, -46 dBm, 27
19:41:33.142, -46 dBm, 26
19:41:33.397, -51 dBm, 28
19:41:33.655, -45 dBm, 26
19:41:33.912, -46 dBm, 27
19:41:34.168, -53 dBm, 25
19:41:34.426, -44 dBm, 28
19:41:34.682, -41 dBm, 26
19:41:34.940, -35 dBm, 27
19:41:35.197, -30 dBm, 28
19:41:35.453, -37 dBm, 28
19:41:35.710, -36 dBm, 26
19:41:35.967, -35 dBm, 28
19:41:36.224, -36 dBm, 26
19:41:36.480, -37 dBm, 26
19:41:36.737, -39 dBm, 28
19:41:36.994, -40 dBm, 28
19:41:37.502, -37 dBm, 27
19:41:37.758, -39 dBm, 28
19:41:38.016, -34 dBm, 30
19:41:38.272, -33 dBm, 28
19:41:38.530, -34 dBm, 27
19:41:38.786, -40 dBm, 29
19:41:39.042, -29 dBm, 28
19:41:39.301, -29 dBm, 28
19:41:39.557, -45 dBm, 29
19:41:39.813, -37 dBm, 27
19:41:40.071, -31 dBm, 26
19:41:40.328, -35 dBm, 30
19:41:40.584, -35 dBm, 28
19:41:40.841, -39 dBm, 30
19:41:41.097, -40 dBm, 28
19:41:41.354, -30 dBm, 26
19:41:41.614, -29 dBm, 28
19:41:41.868, -30 dBm, 29
19:41:42.126, -29 dBm, 28
19:41:42.381, -27 dBm, 29
19:41:42.638, -25 dBm, 26
19:41:42.895, -24 dBm, 26
19:41:43.153, -25 dBm, 26
19:41:43.410, -27 dBm, 27
19:41:43.667, -31 dBm, 27
19:41:43.922, -29 dBm, 27
19:41:44.179, -27 dBm, 27
19:41:44.436, -26 dBm, 28
19:41:44.701, -26 dBm, 28
19:41:44.951, -26 dBm, 28
19:41:45.210, -26 dBm, 29
19:41:45.502, -25 dBm, 27
19:41:45.721, -26 dBm, 28
19:41:45.977, -25 dBm, 27
19:41:46.234, -25 dBm, 28
19:41:46.491, -30 dBm, 26
19:41:46.756, -41 dBm, 27
19:41:47.004, -36 dBm, 28
19:41:47.260, -41 dBm, 27
19:41:47.521, -43 dBm, 27
19:41:47.776, -33 dBm, 29
19:41:48.032, -24 dBm, 28
19:41:48.540, -19 dBm, 28
19:41:48.798, -17 dBm, 28
19:41:49.052, -17 dBm, 29
19:41:49.313, -17 dBm, 26
19:41:49.566, -19 dBm, 28
19:41:50.693, error
19:41:50.949, -23 dBm, 28
19:41:52.329, error
19:41:53.452, error
19:41:54.824, error
19:41:55.080, -22 dBm, 25
19:41:56.206, error
19:41:57.328, error
19:41:57.583, -23 dBm, 29
19:41:57.839, -23 dBm, 27
19:41:58.097, -23 dBm, 29
19:41:58.354, -24 dBm, 27
19:41:58.628, -24 dBm, 28
19:41:58.870, -24 dBm, 28
19:41:59.123, -24 dBm, 28
19:41:59.451, -23 dBm, 27
19:41:59.638, -24 dBm, 29
19:41:59.895, -23 dBm, 30
19:42:00.152, -25 dBm, 28
19:42:00.408, -26 dBm, 28
19:42:00.665, -30 dBm, 29
19:42:00.922, -36 dBm, 28
19:42:01.179, -39 dBm, 28
19:42:01.436, -35 dBm, 28
19:42:01.693, -36 dBm, 26
19:42:01.949, -37 dBm, 29
19:42:02.206, -40 dBm, 28
19:42:02.463, -40 dBm, 27
19:42:02.720, -39 dBm, 28
19:42:02.977, -40 dBm, 28
19:42:03.236, -39 dBm, 30
19:42:03.490, -37 dBm, 27
19:42:03.746, -35 dBm, 27
19:42:04.008, -30 dBm, 28
19:42:04.261, -34 dBm, 27
19:42:04.519, -30 dBm, 27
19:42:04.775, -30 dBm, 29
19:42:05.031, -30 dBm, 28
19:42:05.288, -30 dBm, 28
19:42:05.545, -29 dBm, 27
19:42:05.802, -30 dBm, 28
19:42:06.059, -30 dBm, 26
19:42:06.316, -30 dBm, 29
19:42:06.572, -28 dBm, 29
19:42:06.829, -31 dBm, 27
19:42:07.086, -33 dBm, 30
19:42:07.343, -30 dBm, 28
19:42:07.604, -30 dBm, 26
19:42:07.857, -30 dBm, 29
19:42:08.113, -28 dBm, 28
19:42:08.369, -26 dBm, 28
19:42:08.627, -25 dBm, 27
19:42:08.884, -23 dBm, 29
19:42:09.141, -22 dBm, 27
19:42:09.398, -22 dBm, 29
19:42:10.524, error
19:42:11.648, error
19:42:11.902, -23 dBm, 29
19:42:12.159, -24 dBm, 26
19:42:12.416, -26 dBm, 27
19:42:12.673, -26 dBm, 27
19:42:12.930, -27 dBm, 26
19:42:13.228, -25 dBm, 28
19:42:13.446, -27 dBm, 27
19:42:13.709, -28 dBm, 28
19:42:13.957, -28 dBm, 30
19:42:14.214, -28 dBm, 27
19:42:14.471, -28 dBm, 26
19:42:14.728, -28 dBm, 27
19:42:14.985, -26 dBm, 29
19:42:15.492, -27 dBm, 27
19:42:16.618, error
19:42:16.873, -23 dBm, 28
19:42:17.987, error
19:42:19.114, error
19:42:19.614, -20 dBm, 28
19:42:20.739, error
19:42:21.865, error
19:42:23.002, error
19:42:24.127, error
19:42:24.382, -23 dBm, 28
19:42:24.639, -23 dBm, 31
19:42:24.895, -23 dBm, 31
19:42:26.021, error
19:42:27.145, error
19:42:28.269, error
19:42:29.393, error
19:42:30.517, error
19:42:31.641, error
19:42:32.765, error
19:42:33.889, error
19:42:35.013, error
19:42:36.137, error
19:42:37.261, error
19:42:38.385, error
19:42:39.509, error
19:42:40.634, error
19:42:41.757, error
19:42:42.881, error
19:42:44.005, error
19:42:45.129, error
19:42:46.253, error
19:42:47.377, error
19:42:48.501, error
19:42:49.625, error
19:42:50.748, error
19:42:51.873, error
19:42:52.998, error
19:42:54.121, error
19:42:55.245, error
19:42:56.369, error
19:42:57.492, error
19:42:58.617, error
19:42:59.741, error
19:43:00.865, error
19:43:01.989, error
19:43:03.113, error
19:43:04.237, error
19:43:05.361, error
19:43:06.485, error
19:43:07.609, error
19:43:08.733, error
19:43:09.856, error
19:43:10.981, error
