00:07:13.933, Connected as slave
01:15:49.142, -9 dBm, 24
01:15:49.268, -9 dBm, 24
01:15:49.272, -9 dBm, 23
01:15:49.276, -9 dBm, 23
01:15:49.280, -9 dBm, 23
01:15:49.396, -9 dBm, 23
01:15:49.399, -9 dBm, 23
01:15:49.526, -9 dBm, 23
01:15:49.530, -9 dBm, 26
01:15:49.533, -9 dBm, 26
01:15:49.537, -9 dBm, 26
01:15:49.652, -9 dBm, 26
01:15:49.677, -9 dBm, 26
01:15:49.782, -9 dBm, 26
01:15:49.787, -9 dBm, 27
01:15:49.792, -9 dBm, 27
01:15:49.797, -9 dBm, 27
01:15:49.908, -9 dBm, 27
01:15:49.913, -9 dBm, 27
01:15:50.039, -9 dBm, 27
01:15:50.043, -9 dBm, 26
01:15:50.047, -9 dBm, 26
01:15:50.050, -9 dBm, 26
01:15:50.165, -9 dBm, 26
01:15:50.169, -9 dBm, 26
01:15:50.296, -9 dBm, 26
01:15:50.305, -9 dBm, 25
01:15:50.308, -9 dBm, 25
01:15:50.313, -9 dBm, 25
01:15:50.422, -9 dBm, 25
01:15:50.425, -9 dBm, 25
01:15:50.553, -9 dBm, 25
01:15:50.557, -9 dBm, 25
01:15:50.560, -9 dBm, 25
01:15:50.564, -9 dBm, 25
01:15:50.679, -9 dBm, 25
01:15:50.682, -9 dBm, 25
01:15:50.810, -9 dBm, 25
01:15:50.814, -9 dBm, 25
01:15:50.817, -9 dBm, 25
01:15:50.821, -9 dBm, 25
01:15:50.936, -9 dBm, 25
01:15:50.940, -9 dBm, 25
01:15:51.066, -9 dBm, 25
01:15:51.070, -9 dBm, 28
01:15:51.074, -9 dBm, 28
01:15:51.079, -9 dBm, 28
01:15:51.193, -9 dBm, 28
01:15:51.198, -9 dBm, 28
01:15:51.322, -9 dBm, 28
01:15:51.327, -9 dBm, 24
01:15:51.349, -9 dBm, 24
01:15:51.353, -9 dBm, 24
01:15:51.449, -9 dBm, 24
01:15:51.453, -9 dBm, 24
01:15:51.582, -9 dBm, 24
01:15:51.588, -9 dBm, 27
