13:18:54.800, Log started,
13:19:00.823, Log finished,
13:19:29.527, Log started,
13:19:29.599, Direct device beacon 2,
13:19:44.124, Log finished,
13:19:49.675, Log started,
13:19:54.354, Direct device master,
13:22:33.476, Radio device beacon 1,
13:32:31.491, Log finished,
13:32:37.197, Log started,
13:32:37.268, Direct device master,
13:32:59.047, Radio device beacon 1,
13:40:05.442, Beacon 1-15, 26,
13:40:07.876, Beacon 1-15, 26,
13:40:10.312, Beacon 1-15, 26,
13:40:12.749, Beacon 1-5, 27,
13:40:15.183, Beacon 1-15, 26,
13:40:17.618, Beacon 1-5, 25,
13:40:20.054, Beacon 1-15, 25,
13:40:22.489, Beacon 1-5, 25,
13:40:24.926, Beacon 1-5, 26,
13:40:27.361, Beacon 1-15, 27,
13:40:29.796, Beacon 1-5, 26,
13:40:32.231, Beacon 1-15, 27,
13:40:34.667, Beacon 1-5, 25,
13:40:37.103, Beacon 1-5, 25,
13:40:39.539, Beacon 1-15, 27,
13:40:44.409, Beacon 1-15, 25,
13:40:46.844, Beacon 1-5, 27,
13:40:49.280, Beacon 1-15, 27,
13:40:54.151, Beacon 1-15, 25,
13:40:56.587, Beacon 1-15, 26,
13:40:59.023, Beacon 1-15, 25,
13:41:01.458, Beacon 1-5, 26,
13:41:03.893, Beacon 1-5, 24,
13:41:06.329, Beacon 1-5, 25,
13:41:08.775, Beacon 1-5, 25,
13:41:11.199, Beacon 1-5, 24,
13:41:13.636, Beacon 1-15, 25,
13:41:16.071, Beacon 1-15, 25,
13:41:18.506, Beacon 1-5, 26,
13:41:20.942, Beacon 1-15, 26,
13:41:23.378, Beacon 1-15, 24,
13:41:25.813, Beacon 1-15, 26,
13:41:28.248, Beacon 1-5, 26,
13:41:30.684, Beacon 1-15, 24,
13:41:33.120, Beacon 1-15, 25,
13:41:35.555, Beacon 1-5, 27,
13:41:37.990, Beacon 1-16, 26,
13:41:40.426, Beacon 1-5, 26,
13:41:45.296, Beacon 1-5, 26,
13:41:47.733, Beacon 1-5, 24,
13:41:50.168, Beacon 1-15, 25,
13:41:55.039, Beacon 1-15, 25,
13:41:57.474, Beacon 1-15, 25,
13:41:59.910, Beacon 1-5, 25,
13:42:02.346, Beacon 1-15, 27,
13:42:04.781, Beacon 1-15, 24,
13:42:07.218, Beacon 1-5, 25,
13:42:09.652, Beacon 1-5, 24,
13:42:12.088, Beacon 1-15, 26,
13:42:14.523, Beacon 1-5, 26,
13:42:16.959, Beacon 1-5, 24,
13:42:19.394, Beacon 1-5, 25,
13:42:21.830, Beacon 1-5, 26,
13:42:24.264, Beacon 1-5, 25,
13:42:26.700, Beacon 1-15, 27,
13:42:29.136, Beacon 1-5, 26,
13:42:31.571, Beacon 1-5, 26,
13:42:34.007, Beacon 1-15, 28,
13:42:36.443, Beacon 1-15, 25,
13:42:38.877, Beacon 1-5, 25,
13:42:41.314, Beacon 1-15, 26,
13:42:46.185, Beacon 1-16, 26,
13:42:48.620, Beacon 1-5, 24,
13:42:51.056, Beacon 1-5, 23,
13:42:55.927, Beacon 1-15, 26,
13:42:58.362, Beacon 1-15, 23,
13:43:00.798, Beacon 1-5, 27,
13:43:03.235, Beacon 1-15, 26,
13:43:05.669, Beacon 1-15, 25,
13:43:08.103, Beacon 1-5, 25,
13:43:10.540, Beacon 1-15, 25,
13:43:12.975, Beacon 1-15, 25,
13:43:15.411, Beacon 1-5, 26,
13:43:17.847, Beacon 1-15, 25,
13:43:20.282, Beacon 1-5, 24,
13:43:22.717, Beacon 1-5, 26,
13:43:25.153, Beacon 1-5, 24,
13:43:27.589, Beacon 1-16, 25,
13:43:30.024, Beacon 1-5, 27,
13:43:32.458, Beacon 1-5, 26,
13:43:34.895, Beacon 1-5, 27,
13:43:37.330, Beacon 1-3, 24,
13:43:39.766, Beacon 1-15, 25,
13:43:42.201, Beacon 1-5, 26,
13:43:47.073, Beacon 1-15, 23,
13:43:49.508, Beacon 1-15, 26,
13:43:51.943, Beacon 1-15, 25,
13:43:56.814, Beacon 1-5, 27,
13:43:59.250, Beacon 1-5, 26,
13:44:01.686, Beacon 1-15, 26,
13:44:04.120, Beacon 1-15, 25,
13:44:06.557, Beacon 1-15, 26,
13:44:08.991, Beacon 1-15, 27,
13:44:11.427, Beacon 1-5, 25,
13:44:13.863, Beacon 1-5, 27,
13:44:16.299, Beacon 1-15, 25,
13:44:18.734, Beacon 1-5, 26,
13:44:21.170, Beacon 1-15, 26,
13:44:23.605, Beacon 1-5, 26,
13:44:26.041, Beacon 1-5, 28,
13:44:28.476, Beacon 1-15, 25,
13:44:30.911, Beacon 1-5, 26,
13:44:33.347, Beacon 1-5, 26,
13:44:35.783, Beacon 1-16, 26,
13:44:38.218, Beacon 1-15, 26,
13:44:40.654, Beacon 1-15, 25,
13:44:43.089, Beacon 1-5, 26,
13:44:45.524, Beacon 1-15, 27,
13:44:47.960, Beacon 1-5, 24,
13:44:50.396, Beacon 1-15, 24,
13:44:52.832, Beacon 1-5, 25,
13:44:57.702, Beacon 1-5, 26,
13:45:00.138, Beacon 1-15, 24,
13:45:02.572, Beacon 1-5, 26,
13:45:05.009, Beacon 1-15, 26,
13:45:07.443, Beacon 1-15, 28,
13:45:09.889, Beacon 1-5, 26,
13:45:12.315, Beacon 1-15, 25,
13:45:14.751, Beacon 1-5, 25,
13:45:17.186, Beacon 1-5, 26,
13:45:19.622, Beacon 1-15, 26,
13:45:22.057, Beacon 1-5, 25,
13:45:24.493, Beacon 1-5, 25,
13:45:26.928, Beacon 1-5, 24,
13:45:29.364, Beacon 1-15, 26,
13:45:31.799, Beacon 1-5, 26,
13:45:34.235, Beacon 1-5, 26,
13:45:36.670, Beacon 1-5, 24,
13:45:39.106, Beacon 1-5, 26,
13:45:41.541, Beacon 1-15, 25,
13:45:43.976, Beacon 1-5, 26,
